"","0","0 | 1","0 | 2","0 | 3","300","300 | 1","300 | 2","300 | 3","900","900 | 1","900 | 2","900 | 3","1800","1800 | 1","1800 | 2","1800 | 3","3600","3600 | 1","3600 | 2","3600 | 3"
"kilR",292.46,341.763,300.418,252.87,253.019,212.894,259.351,220.133,215.407,245.818,228.028,233.78,175.292,231.996,214.323,209.525,170.977,191.605,178.551,239.056
"ydaG",327.105,332.017,319.79,274.444,289.844,308.732,222.435,310.124,230.881,238.016,293.973,261.461,172.057,169.638,272.139,290.171,229.032,188.796,291.231,291.575
"racR",13.569,11.3658,26.8867,21.1145,1.94672,18.3218,19.2733,13.4095,31.4054,5.6117,12.1619,7.10023,5.18047,3.12269,11.4398,22.1809,1.22885,2.9842,31.0914,9.40401
"ydaS",2.18625,14.641,16.5974,8.35857,37.7515,8.94432,16.6443,20.8151,20.089,1.31323,16.6052,13.1893,10.7223,10.5807,22.5161,22.4127,2.27862,26.5325,21.8661,24.9814
"ydaT",1.74539,5.80349,2.2041,2.14599,8.24838,2.86052,11.3692,6.58257,2.2822,0.74773,5.8814,1.12816,1.84865,8.29682,5.52444,1.43402,2.48238,30.3607,1.58223,14.1497
"ydaU",11.3933,3.09713,9.00217,8.04048,1.98068,4.68652,6.07226,8.17908,1.73141,1.40079,3.16555,8.52691,1.25664,23.0456,5.33539,14.9846,1.98572,12.1454,7.45638,9.0831
"ydaV",4.15827,18.6082,17.5518,12.8203,35.0932,1.94113,9.08228,9.67976,8.77571,3.73433,8.79831,12.1409,3.31441,1.79135,39.6547,9.93866,12.4782,7.44082,25.2001,7.29344
"ydaW",36.3126,49.3523,41.7206,42.8593,64.7884,58.923,15.5947,38.8996,7.06487,49.6658,65.9718,36.8059,39.0041,3.1691,66.6485,33.8386,23.7129,8.62892,82.0616,26.1277
"rzpR",12.4283,27.447,10.366,46.883,29.9287,9.34683,13.9091,11.3248,10.7264,18.119,9.90628,13.5792,7.67368,26.0542,9.27457,15.6021,27.9336,18.3014,19.0269,14.2508
"trkG",1.35942,9.16327,2.65506,46.2954,18.371,35.402,3.93961,3.29007,4.00026,13.7111,8.00696,6.86688,15.3917,7.52268,1.29703,5.89194,20.0718,1.08674,2.03534,0.819201
"ynaK",7.0939,7.14569,2.13902,38.3302,6.02612,8.2129,2.35813,3.16418,9.00285,2.61819,1.93815,1.37612,17.3149,2.85797,2.74266,3.72175,6.48667,9.89222,2.23614,2.43697
"ydaY",6.97744,24.927,22.5423,17.8222,9.80242,13.8163,22.8933,27.0187,31.7003,31.0584,33.1172,26.9038,51.6946,19.4014,31.8326,21.5273,36.2699,31.6197,33.7421,37.5965
"ynaA",18.774,26.1614,6.80142,1.87298,42.248,5.66001,10.9863,8.57181,19.9142,13.348,12.7602,4.82165,27.8054,5.41245,16.6228,15.9958,37.9021,5.60483,3.97909,20.0584
"insH5",19.3582,33.2935,47.5918,37.4121,35.6284,43.4211,39.9262,20.5231,8.23226,36.1517,38.8802,38.0411,39.1583,9.49161,26.5027,80.1311,43.7419,30.8798,100.621,30.1521
"stfR",9.08775,34.4944,35.4906,18.1957,16.0452,4.55926,13.0904,11.9368,40.4458,16.6131,32.5959,21.3548,2.37277,20.6359,6.57741,15.0142,10.9328,1.60291,20.6648,12.4236
"tfaR",23.1181,5.29789,31.1003,36.1108,25.3279,23.4576,8.08359,23.0806,29.1015,15.5005,23.2299,8.67696,23.3914,10.4927,15.1236,24.646,7.85879,39.9965,21.5913,22.1844
"pinR",12.8294,2.63237,1.59779,1.8925,21.2988,11.5594,30.0888,8.20731,1.98921,8.33925,21.9443,3.74488,1.59441,4.19334,24.0708,17.7119,32.473,3.71199,13.8102,20.125
"ynaE",23.0273,0.527708,2.39905,30.7609,6.28982,1.79247,9.9406,4.93241,1.49928,2.26076,2.08838,9.92839,7.84128,8.3706,1.43882,18.6215,15.5665,13.336,1.16689,4.09683
