"","0","0 | 1","0 | 2","162000","162000 | 1","162000 | 2","0 | 3","0 | 4","162000 | 3","162000 | 4"
"lspA",8296.214579,8832.308677,7616.634398,6336.821572,8551.366087,7349.191741,9249.944782,8595.913718,8669.966054,7354.546069
"nanT",141.7251535,292.1173336,120.1596808,59.38216021,238.1215718,322.7949735,292.9150232,194.2097579,249.0219692,249.1677081
"ttdT",356.1506445,217.6418153,198.7871539,204.6654398,209.2552201,418.6348957,230.2215718,329.4197114,171.3140284,341.8222779
"mntP",485.6261205,472.0215718,497.7913663,581.4215718,812.2358764,302.5347754,434.4485849,1944.337414,480.8719653,234.496257
"ydfT",100.4496502,154.2850209,137.2215718,191.1626188,206.2215718,99.45435096,142.9464519,112.1741939,162.2215718,96.9856922
"matA",124.5802017,97.08403364,20.31429554,249.6682085,88.42157178,130.1215718,100.0308721,78.15630689,232.9247452,148.5215718
"yajD",2395.389694,2180.625776,2415.942331,2386.518345,2230.314796,2225.011904,2107.555402,2051.612925,2034.807115,1917.333568
"ecnA",1159.706055,1645.862557,1403.353991,2054.905685,2716.686113,1555.367684,1815.071572,1156.63596,2134.374624,1171.035326
"fruK",782.9407854,585.8132288,2188.657113,681.8982374,485.5964392,571.0556937,592.4621111,8146.739011,457.1472373,441.2077314
"frdC",331.7486229,214.7358543,281.0215718,264.6832068,195.5514739,229.7713886,296.239248,2828.348796,201.6608444,291.0568645
"wcaE",891.5164726,624.9687622,775.1923955,592.9097073,314.919261,223.9163904,1605.193869,841.649871,584.0189851,304.1651724
"lptB",6131.354296,6035.421572,5523.895547,6457.160225,3029.563253,5644.573937,5335.915713,6032.45588,3848.837884,5825.468081
"yiiE",170.8813826,219.7430691,149.214771,204.5292254,192.2633285,328.3938423,263.8215718,239.6334467,264.5927982,318.332989
"yiaK",378.7821398,214.442049,163.7423956,198.0687138,160.5333554,721.0648065,155.5215718,246.6303184,148.4714351,416.8629247
"sdhE",2696.221572,3148.355904,4535.578828,3191.171572,4895.179351,5019.234716,3506.712148,4142.298293,4519.171572,4731.519515
"yafL",295.8074261,306.1715562,257.4208906,168.2259607,291.8156789,278.5679471,259.622887,225.685919,295.2941258,248.8070203
"flgF",256.6435518,149.1012808,137.0261606,222.4245745,115.3215718,179.066313,168.4215718,130.9253142,116.6957078,119.8359617
"cusC",192.7175003,114.5672806,79.91718165,105.8938458,94.53244413,229.8091694,104.8701038,155.5215718,91.19074317,158.8704887
"eutQ",254.8080944,210.6215718,157.197996,149.8059719,138.6357834,392.5194861,179.2393516,246.8892002,170.7450559,248.8466004
"ybgO",185.291142,148.365135,139.738746,141.4707487,107.391354,262.0029727,94.60271007,189.4604075,114.4901143,190.5993734
"lipB",3078.438246,3812.856522,2799.572161,3160.744895,3846.855636,2530.574195,3301.45398,2263.751154,2742.481653,2170.720682
"lit",1564.061943,930.5228078,798.179208,2169.139844,1213.019436,722.8059252,2200.257225,2627.024728,1984.471071,1811.225332
"hsdR",1219.375579,1301.121499,753.6018255,1080.308484,579.437083,717.153574,827.9560343,1388.59578,670.2898731,816.4701424
"lsrB",146.1942652,170.7756869,70.52630993,95.5233863,98.60132069,178.7425105,121.5408967,126.4566849,96.03158241,119.6120259
"sgcE",418.0105817,310.1849513,154.8269968,238.6009217,256.9275999,316.8859823,287.2300048,207.1333762,231.745773,238.8682679
"ydeE",69.08519717,141.1836228,51.66912078,196.9862481,241.3799124,78.85095731,84.38984063,39.8265439,303.1307845,90.83206909
"preA",240.6042832,198.6179707,158.9435792,194.8617288,223.7215718,255.1279338,183.5953062,226.3288586,207.7810171,210.1571144
"yagH",336.8166379,341.9740399,135.6906097,169.6755187,210.1337212,281.9376615,275.7693835,245.2738648,191.2121274,218.2645452
"ykfF",308.0781919,259.1215718,273.6750807,159.5832168,231.7233044,511.2951119,214.3215718,360.9350019,215.8908217,326.0998305
"ygeN",51.57450419,84.6467139,44.60899974,97.29789068,60.40249279,63.32157215,66.13587997,68.60291474,82.10172265,72.17355219
"narX",1432.540021,1551.321773,1293.84626,956.2054983,1253.361222,721.2781569,3017.57416,2860.387424,1109.325473,539.0007271
"ycjO",149.1101479,126.0917175,121.2902868,101.6171478,106.6084663,207.6215718,105.5504988,181.4804005,97.22005376,145.4879734
"nfsB",2994.011358,3041.596087,2175.106115,4147.847263,3846.763641,2408.69555,2410.508565,1294.020136,3709.683149,2403.850275
"talB",10203.40467,11294.22124,9411.792642,9279.637952,10003.89489,9605.071572,11326.79589,9689.538503,9709.677247,10307.91868
"pgrR",355.2974179,572.265844,266.2948073,788.6215718,760.3455124,316.808447,380.5519226,189.4838805,695.9564642,410.6865248
"ybdO",183.1215718,396.0029094,228.1782065,592.1698615,486.2435766,249.3884927,404.9209703,234.2507462,662.1651064,551.7153505
"ydhV",135.6887733,131.6290209,89.37580318,95.23570809,94.67706716,119.7651659,135.3526464,202.4409288,108.1215718,97.08478902
"tesA",3416.555814,2690.077869,1903.071572,2052.82481,1765.587495,1509.606128,3099.748915,1929.076846,2320.766517,1952.263119
"cheW",246.3866517,250.1881282,165.178082,126.1179942,176.1735327,229.894763,205.5054495,199.7711437,109.2895628,173.6680864
"crcB",461.4137559,599.3339755,479.731875,571.057771,780.5941005,287.2229521,496.3215718,296.2005692,491.1215718,277.7010832
"yfiL",189.4264112,160.917776,178.4018189,256.9915954,205.5453418,284.7242862,170.0586262,199.236303,271.1149723,320.935622
"dps",1621.749108,1694.521011,739.0378581,3606.229557,2784.670183,1680.403955,1503.038083,1345.75525,2268.439783,1376.321572
"menC",2708.488829,2250.166243,1716.800504,2102.566714,2706.201695,1754.64291,2649.485138,2151.627982,2260.721572,1612.820766
"nrdF",1083.938988,1092.937459,714.0903539,329.7002417,196.1248945,251.332719,1157.89592,112.8260889,622.7173304,1950.07472
"yojI",1978.350582,2344.519245,1808.115774,1872.169922,2740.395099,1954.962065,1968.262792,487.5211725,2767.281565,1720.321572
"glvC",66.70362906,65.2133429,34.5662601,23.173387,32.5866884,346.6029998,27.70988888,108.8161239,31.43447401,186.2939353
"cadC",134.4346418,212.1939115,224.2346852,783.4431129,533.0215718,410.9526967,216.1658948,480.7056539,872.5215718,646.754378
"psuG",70.33226489,67.3071954,26.81502187,51.22642271,35.09176542,130.3764937,36.8570409,85.95041179,37.35555491,92.47792821
"yccE",294.9709752,305.3426203,113.8215718,207.9450641,179.0726867,166.9413081,324.9118041,201.6104097,180.1797891,128.5163833
"yccS",1961.303879,2170.860812,2139.926423,1575.634476,2383.551581,1624.270361,2401.866255,2401.759822,1568.972933,1090.775837
"dacB",1104.876221,1797.021038,1242.221447,1117.821572,1398.136095,1428.485672,1366.410276,990.3547958,1683.921181,1578.886885
"purA",6938.390364,6776.396512,6071.943478,7598.237881,7000.506637,6756.831043,5827.487442,6223.946939,6658.608819,6267.721572
"yjiL",194.8372366,183.4047426,168.8547424,143.7786416,144.2215718,369.0285191,135.9070704,285.4903045,144.394001,284.2432073
"yfdV",109.2256427,117.6215718,61.46216747,78.91709248,62.69599482,121.1215718,77.90661536,104.918763,53.98035975,123.6433542
"trpD",2529.602969,1955.432435,761.8829227,2510.227925,2099.759458,1384.362788,2742.074485,2386.228036,3826.48364,4869.64554
"oxyS",533.2943678,299.8935015,459.688177,343.0082297,186.2892168,1244.160255,252.0370689,387.0292615,206.5732055,536.2730134
"queD",1819.765808,1761.621572,1511.708471,2676.624311,3304.957395,2597.735546,1519.183645,1131.493942,2552.116771,2076.121572
"hiuH",589.8978308,360.1376819,286.1510678,367.3835584,243.4593422,337.8955666,355.2675878,386.1836391,297.7642932,349.8451127
"yqfB",1729.836009,1773.471572,1090.566813,3071.988429,2418.621572,1742.854637,1441.328684,1258.117155,2345.132609,1812.271572
"rplP",12793.28031,14134.49439,16191.21593,15098.69534,12853.35886,16124.03455,13212.67338,14429.92157,13634.75367,16057.0249
"afuC",486.6260102,467.6576363,317.2058659,147.5950358,324.5860726,355.2410377,435.7808607,346.9475186,289.3492324,246.1475739
"ygeF",59.37350259,72.01160533,18.52716537,57.22252737,29.17748739,88.32022835,45.78126752,256.7118421,23.12156689,95.58237845
"ybgP",203.8854443,158.2986366,110.0200251,153.6845368,138.463336,242.7725008,126.9532517,171.4409153,115.1720677,163.3005899
"cyoB",11536.73495,10589.15593,8951.871572,11421.5455,8723.007723,10929.91709,10680.17844,2873.461366,9664.656192,11226.12157
"yihD",3505.481533,3378.702358,3670.922862,5037.847086,3732.780397,3961.921572,3914.121572,3700.679683,4597.543154,4859.404867
"dsbA",3012.644668,3238.211694,3782.583588,4128.227309,3646.270174,3332.13349,4397.282834,4230.537718,4101.379554,3809.03153
"mrp",4254.921572,5640.802436,6651.776027,4354.550543,7830.570469,6320.868968,6004.674287,5289.598385,6648.013315,5985.373488
"hybD",1450.405646,1141.515448,581.6510883,1242.939919,1463.846271,1054.920037,1280.269152,1695.547345,1620.711759,1116.865351
"creB",1019.238607,766.3760348,472.1190978,1331.308172,881.3941606,475.6106789,650.7151576,404.1004787,1036.225602,618.1707772
