"","0","0 | 1","36000","36000 | 1","126000","126000 | 1"
"insC1",496.47135,684.96245,865.5953,1095.78835,585.47905,643.54255
"insD1",1587.40625,1605.62615,2061.2048,2544.76205,1338.351,1270.1085
"yaiP",81.267,95.50515,197.3258,270.91715,61.4743,74.8691
"yaiS",126.97175,307.86965,747.957,1053.05535,68.6564,83.39995
"tauA",110.3761,112.87005,306.6097,226.26855,84.8123,88.68755
"tauB",76.70725,80.0777,111.6304,128.6781,66.90365,72.39185
"tauC",69.51005,71.75035,77.0381,92.9309,58.15675,60.36455
"tauD",109.3281,147.5902,112.41245,152.2965,72.10315,81.11055
"hemB",588.76035,603.95735,296.85255,223.1302,535.647,685.0834
"iprA",56.62385,65.8077,57.7863,62.308,42.64335,46.39485
"ampH",511.2562,540.05185,148.11585,168.77545,641.81785,634.66
"sbmA",115.06015,116.7475,94.647,108.94485,186.31455,163.8377
"yaiW",608.39255,713.0809,388.46155,385.97485,1088.52725,888.34235
"yaiY",60.6762,61.8822,60.0762,61.7667,114.40705,100.5569
"yaiZ",595.09615,518.8109,924.3208,826.72475,439.7991,691.849
"ddlA",1456.8746,1794.1426,1309.7867,1056.6685,1565.0333,1457.9513
"iraP",108.79615,128.55305,548.3152,408.21865,386.06335,426.8588
"phoA",264.59415,281.0673,355.44585,367.95265,1868.441,516.15635
"psiF",159.62655,134.2589,118.47715,190.85585,453.15165,351.94225
"dgcC",92.11045,93.0171,71.71135,79.1587,65.6435,69.89505
"proC",311.78185,466.88475,318.6082,279.11055,557.31135,628.44585
"yaiI",125.48775,132.99285,114.98345,103.69795,188.1682,185.18095
"aroL",575.65625,1091.83885,3538.8255,4000.3121,544.39895,828.8215
"yaiA",2317.45455,3484.8037,10529.3379,13092.6128,4100.33075,6489.8882
"aroM",1344.14745,1891.74285,4812.1474,6196.5393,2986.6622,3496.656
"ppnP",713.9948,1058.26155,1161.2593,2183.10695,1388.08015,1902.11815
"ykiA",88.33925,88.3457,120.3079,103.6505,79.7706,79.29365
"rdgC",502.1081,368.91595,170.7487,144.28875,511.9483,405.001
"mak",411.99685,415.6223,460.7838,370.5056,1498.03955,1111.62615
"araJ",342.84775,352.75695,210.66245,275.39205,163.83295,164.07815
