"","0","35400"
"appB",297.926,157.187
"appA",356.723,198.116
"etk",582.083,458.059
"etp",436.813,450.356
"gfcE",315.139,346.111
"gfcD",417.223,275.905
"gfcC",588.704,541.45
"gfcB",471.395,427.903
"gfcA",1535.55,1171.31
"cspH",1973,1744.06
"cspG",2386.92,2420.02
"ymcE",220.151,203.845
"yccM",276.921,131.438
"torS",449.737,173.803
"torT",248.472,198.068
"torR",707.57,467.804
"torC",300.243,69.0856
"torA",418.043,242.841
"torD",311.954,193.541
"cbpM",419.947,478.794
"cbpA",719.612,733.849
"yccE",410.702,200.261
"yccJ",338.56,277.317
"wrbA",404.229,385.108
"rutG",258.761,137.239
"rutF",264.638,79.662
"rutE",165.306,107.39
"rutD",308.311,174.268
"rutC",400.603,240.777
"rutB",325.194,128.263
"rutA",383.373,184.102
"rutR",542.375,390.031
"putA",467.073,590.845
"putP",915.906,1266.82
"efeO",655.856,490.939
"efeB",413.943,256.67
"pgaD",805.156,604.954
"pgaC",264.535,182.254
"pgaB",285.278,283.741
"pgaA",304.081,222.713
"dgcT",419.97,286.273
"ymdE",218.968,81.3227
"ycdU",417.217,198.514
"ghrA",1158.61,1557.51
"ycdX",1616.4,2607.39
"ycdY",1685.17,2034.33
"ycdZ",969.914,1145.4
"csgG",230.668,160.778
"csgF",146.898,106.894
"csgE",161.574,111.605
"csgD",270.287,229.983
"csgB",198.276,69.1169
"csgA",305.862,170.843
"csgC",211.616,116.321
"ymdA",266.837,222.42
"ymdB",340.113,326.05
"clsC",253.809,134.526
"opgC",281.385,380.948
"opgG",2057.76,3328.45
"opgH",1673.01,3013.22
"yceK",420.893,377.147
"msyB",793.756,598.03
"mdtG",912.642,631.625
"lpxL",2155.36,2540.23
"trhO",1256.34,1895.01
"yceI",376.526,230.408
"yceJ",354.85,248.634
"yceO",238.168,87.8945
"solA",545.992,751.384
"bssS",2734.82,3645.97
"dinI",2365.06,1106.96
"pyrC",436.28,633.334
"yceB",1006.12,1352.94
"grxB",699.531,502.011
"mdtH",709.353,504.045
"rimJ",1399.67,1716.34
"yceH",778.301,958.396
