"","900","900 | 1","900 | 2","900 | 3","900 | 4","900 | 5","900 | 6","900 | 7","900 | 8","0","0 | 1","0 | 2"
"luxS",3733.144,2807.91,3450.485,893.9741,1321.125,1543.285,524.4435,499.8161,483.8857,1550.613,2686.938,2116.287
"iscS",1622.765,3770.955,2353.108,51923.47,54099.52,52561.18,21838.88,17005.69,23695.66,11053.59,10528.57,10293.67
"baeR",936.3312,976.7563,990.881,247.8082,227.9724,264.5529,399.2574,366.6454,294.1731,845.2523,870.5083,835.7632
"wcaI",25.07388,30.06063,25.92303,15.66452,65.29292,15.15535,26.27214,10.41271,47.94979,35.8105,32.25989,20.00792
"ybeR",2.559725,2.788779,2.05621,48.47999,53.49526,9.939795,70.13526,63.90738,106.6611,13.36292,47.07601,15.28524
"yccA",6479.375,6713.384,5036.175,6906.481,7194.719,11730.37,16363.61,16125.31,18591.08,8575.261,10224.25,8698.713
"yobD",289.4157,328.8576,342.0845,58.33114,94.01873,136.1618,147.6755,165.0504,196.2395,367.2489,159.0479,191.5648
"tdcA",295.6826,183.0937,313.291,42.08142,14.75053,48.15631,92.42086,79.06528,166.0725,218.8698,118.669,73.95039
"nadD",817.885,1162.076,1193.544,255.5253,209.1393,266.2712,288.3346,355.6352,235.5375,431.8883,234.6096,314.6766
"lpxP",971.5789,2855.327,1310.755,184.5072,212.7539,168.9787,473.1027,1249.564,663.8033,1170.54,621.0239,624.9681
"dtd",1841.701,1915.022,1683.296,1553.37,1369.697,2515.49,2643.923,2510.745,2116.292,2775.438,2039.167,2831.216
"glsA",767.5559,512.0726,360.4789,160.5241,213.59,174.4714,192.5468,182.2702,219.8978,96.47002,90.1002,127.3057
"paaG",40.33035,41.55888,51.38577,153.0712,339.6139,123.8916,48.28252,32.51417,35.28291,261.8817,798.6001,680.8819
"yidI",441.2836,472.5745,495.3576,316.7592,315.3947,283.6292,819.5716,966.5679,815.7947,499.5298,451.0051,420.3458
"tolQ",723.1201,894.8456,1131.449,487.794,631.1362,211.594,1479.332,1629.712,1922.126,697.4108,480.4082,696.7634
"ycaC",2292,1679.22,1975.281,140.3356,164.006,290.9736,66.17526,85.27307,45.42651,67.66631,132.1777,79.73026
"micA",200.6501,257.4642,225.2631,401.4674,461.8976,3024.896,1512.667,663.0385,845.1273,318.6214,258.5546,168.7221
"yicN",355.5056,433.0269,486.2065,722.6104,629.8035,836.3355,1015.67,1202.998,861.5872,851.2988,713.0206,681.248
"yhjY",486.245,370.7993,641.3755,222.0544,246.1584,298.0211,212.4939,198.3901,223.176,229.2969,396.0066,225.2141
"ybeY",1855.381,1443.383,2117.892,821.0662,403.9908,687.0615,791.3719,440.8361,520.9548,2997.63,2223.969,2782.661
"entF",1608.288,1301.681,2365.8,143.9826,80.41443,263.4207,28.33035,72.63297,26.57005,77.814,46.72853,138.0289
"ptsA",40.46066,25.32851,24.00256,28.69537,27.28972,26.50234,7.915635,6.294262,7.002376,42.24057,37.00074,65.85395
"bamC",2894.07,2603.774,3391.482,2569.035,2349.722,2447.002,4300.835,6295.532,7140.24,2295.253,1628.63,2691.171
"lpp",25199.61,15837.2,18803.28,56177.17,63786.21,77071.63,33125.06,27983.63,41685.41,23369.31,19663.59,27912.26
"yjiX",1018.657,1121.868,1202.311,1753.86,946.4791,1287.202,1634.985,959.8017,561.2725,2527.647,1273.055,763.0754
"yedK",127.2175,179.1557,205.9335,87.61167,65.42783,243.5062,146.3027,191.8336,230.8147,141.7839,265.5526,196.1219
"glpF",11479.01,11489.07,11630.22,6636.925,8979.517,4958.205,5864.772,3636.683,4208.28,18914.79,15334.11,21561
"prmB",1878.043,1611.633,1789.505,976.237,1418.569,850.6789,1617.517,1769.504,1519.681,2485.458,3406.677,2817.594
"ypjF",34.951,55.57032,56.72388,47.1712,71.72059,34.87312,119.5763,125.1152,144.826,78.06596,65.65348,38.62751
"dgcN",181.4233,232.3176,335.7536,90.57288,66.93808,85.94305,135.1725,149.2475,110.8085,151.2477,59.7295,79.53162
"pyrF",428.534,587.4386,414.445,76.19559,128.9868,110.5752,557.4711,873.6031,760.5624,201.311,73.40874,137.3411
"gpmA",10903.67,9229.493,10224.85,20922.48,26895.62,29880.83,15276.71,9892.646,8998.48,7866.762,9548.165,9039.606
"sixA",2173.23,3215.508,2274.629,7340.22,6353.864,6681.133,8679.991,12361.07,13262.64,3001.554,4126.259,3093.056
"fpr",648.0703,849.5383,815.4036,5679.817,2535.74,3589.054,207.2247,146.3484,120.7826,851.319,555.7456,559.5032
"trpC",2031.591,3177.275,1575.887,1431.345,14237.78,1829.469,805.5037,893.262,790.9587,1531.646,8023.527,1701.195
"citT",30.97538,18.85765,61.15714,64.38189,21.72236,23.733,34.28332,30.84265,100.5255,56.60405,8.767961,22.5874
"znuC",784.6993,963.2157,1108.999,391.5637,271.3942,230.0117,1240.925,2203.205,2104.009,599.9657,457.624,376.4694
"tabA",2908.196,2312.603,2308.802,6487.458,4556.029,7120.165,1718.166,1406.685,1175.86,1763.953,1538.825,1703.241
"frwC",57.43634,76.36636,75.50069,114.8178,153.398,223.3499,118.2283,103.1045,94.9668,137.7381,94.60852,148.9633
"cysH",1639.378,2450.423,517.0084,1088.796,239.4908,627.6958,71.06715,71.74131,0.8976938,8.267401,176.8062,27.4467
"ybcO",33.12806,40.69396,39.4286,78.54861,103.4988,108.9159,101.1269,162.7336,145.9784,50.95637,32.78036,51.26073
"hdeB",2505.695,1212.458,1596.042,62.8081,54.92232,14.36227,31.59764,3.51768,6.59833,170.285,68.29579,37.49623
"fecA",765.1476,1191.549,992.4693,2178.119,2719.292,2496.693,783.0827,910.9412,822.3871,3953.325,2376.667,5602.647
"opgD",1587.564,1625.546,1538.206,1282.026,1153.018,1457.501,945.2849,1235.884,1289.077,759.9891,1127.583,1158.381
"csgG",48.84974,60.92312,85.12972,20.36036,74.94096,108.8697,107.7844,113.8657,118.3697,67.33569,54.95394,39.09269
"yrhB",30.81564,58.47365,44.39859,11.75366,23.7706,73.34358,94.97404,212.348,282.756,39.61389,55.61845,39.20186
"lolB",1432.668,1760.196,1424.285,269.8535,235.0971,286.7092,462.3236,300.5119,325.1531,799.5956,1072.226,880.3451
"ysaA",1344.346,583.9132,823.3024,248.5062,167.5652,324.7005,235.319,376.1083,371.5518,256.8558,523.4585,375.7389
