"","0","0 | 1","0 | 2","0 | 3","600","600 | 1","600 | 2","600 | 3","0 | 4","0 | 5","0 | 6","0 | 7","600 | 4","600 | 5","600 | 6","600 | 7"
"baeS",0,0,0,0,0,0,0,0,0,0,549.8,631.7,0,0,397,313.4
"focB",2341.1,2208.2,1227.5,794,580.3,792.4,559.3,311.7,1567.1,1443.3,1398.2,2427.6,1789.4,0,886.7,1201
"rpiA",2424.3,1213.5,2084.8,1743.8,537.7,682.6,0,0,872.8,546.2,1024.9,740,0,0,751.7,774.8
"dcuD",1066.5,1290.1,2060.1,2447.3,625.5,675.3,514.2,372.6,1379.9,1593.1,1102.2,1369.1,824.7,0,756.4,634.4
"aaeA",0,0,1338.7,2140,559.7,555.6,368.9,276.4,1363.5,564.2,962.6,1568.5,1112.5,0,719.4,748.3
"yicH",0,0,1582.7,2097,674.8,941.8,0.7,2.3,0,0,1138.2,1466.3,0,0,0,0
"ftsA",0,0,0,0,0,0,0,0,0,0,585.6,428.1,0,0,0,0
"yajD",833.7,1757,0,0,0,0,435.4,442.8,223.8,1985.4,0,0,300.1,1134,0,102.1
"yajL",718.9,948.8,0,0,543.4,461,560.8,468.8,0,0,1201.3,1454.4,0,0,339.8,331.1
"rcdA",1284.3,2133.9,0,0,477.9,402.7,0.5,1.8,794.7,1022.1,1458.9,1140.9,0,0,363.3,313.9
"yciE",2949.8,1027.5,0,0,561.7,765.7,0.7,1.2,1672.5,824,1908.5,2369,1408.4,0,878.5,959.5
"ydfV",0,0,0,0,0,0,0,0,504.9,1134.6,0,0,0,0,0,0
"ypeC",2434.9,1379.8,0,0,584.9,919.5,0,3.5,1290.2,775.9,1936.6,2075.8,1888.8,394.4,742.2,877.5
"amiC",845.4,635.2,1637.6,2189.5,0,207.5,0,2.6,664,1210.6,1240.9,1469.6,388.2,761.8,582.1,747.1
"yhaV",0,0,2795.2,3893.9,5294.8,5029.9,0,0,574.3,0,1223.4,789.9,0,0,487.5,432.2
"yraJ",1093.8,888.3,1909.2,2253.4,747.5,722.3,0,0,607.6,1089.9,944.7,1076.4,0,0,409.8,422.1
"glyQ",2532.6,1489.1,3229.4,3340.5,1163,3066.1,0,0,0,0,1317.6,1021.9,0,0,398.8,376.3
"thiF",0,0,940.8,1389.4,691.4,488.4,0,0,245.5,671.8,774.2,631.6,0,0,494.9,309.4
"nanS",2869.4,1763,3533.4,2387.6,2752.8,1070.7,0,0,1184.3,1387.5,682.6,1157.8,314,853,468.7,447.7
"lpd",0,0,0,0,0,0,0,0,0,0,535,360.8,0,0,0,0
"sfmC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ybcM",0,0,654,365,0,0,0,0,0,0,617.3,372.7,0,0,0,0
"rlmI",4921.7,4004.5,0,0,919.6,610.2,894.5,465.4,439.1,471.3,2641.7,8293.5,2418.1,339.9,657.2,1144.7
"lapA",0,0,0,0,0,0,0,0,0,0,516.4,353.2,0,0,0,0
"ydiK",561.9,8762.4,0,0,0,0,0,0,160.5,14312.6,470.1,417.9,0,0,0,365.4
"thiD",0,0,2144.9,2074.2,856.3,494,0.2,208.5,0,0,774.6,818,0,0,444.3,731.1
"rlmN",4474.9,7246.5,1436,1249,750.1,1261.5,571.3,649.6,1344.3,3611.7,0,0,964.4,674.5,3117.6,5660.9
"lysR",1809.5,3352.4,3099.3,2663.1,1196.5,2174.8,0,276.7,150.2,704.6,485.8,878.3,0,0,839.3,1008.1
"csrD",0,0,1305.8,3611.1,0,0,0,0,0,0,572.9,433.7,0,0,524.4,751.6
"acrF",0,148.6,5674.5,3509.2,3999,2486.3,0,0,0,0,1047.2,910.7,0,0,498.4,575.1
