"","7200","21600","10800","36000","0","3600","14400","10800 | 1","21600 | 1","36000 | 1","0 | 1","3600 | 1","14400 | 1","0 | 2","10800 | 2","36000 | 2","3600 | 2","21600 | 2","7200 | 1","14400 | 2"
"nrdB",5.574214254,2.449688394,5.552092107,3.86280787,6.875667987,6.146235328,3.329223157,5.560791752,2.994202465,3.703599357,5.111980481,3.452894255,2.971954215,4.863756253,3.229378287,2.485509711,3.854345105,2.694073153,4.432071356,2.85923213
"yfaE",1.944146851,1.464674621,1.953687222,1.664567586,2.121904038,2.011070121,1.631819885,2.120723724,1.649135061,1.664921368,1.974858081,1.651385907,1.458512477,1.958834161,1.689945622,1.546546881,1.901088425,1.584653712,2.155400452,1.596782352
"inaA",4.461120384,2.260250697,5.911405425,2.999993663,6.337869682,5.118107163,2.668149373,4.589568212,2.026172101,2.599034649,4.745011476,2.461737639,2.028746391,5.873732062,4.167536507,3.131077013,4.816031454,2.761401378,6.577298153,3.414292487
"yfaH",5.897534073,2.794667375,9.353928639,3.55575652,11.05246026,8.129532295,2.993851552,1.169524321,1.175827725,1.121347072,1.188606204,1.091810005,1.112643598,1.153556144,1.101837638,1.153717245,1.084171067,1.047140953,1.111862259,1.099575751
"glpQ",185.9970575,47.58714116,194.21544,124.5765388,284.9961409,270.2969934,111.8579726,5.743301045,2.119399369,3.124042775,4.814065936,2.874612017,2.237491478,5.352594127,3.59610415,3.068195027,4.276187409,3.192769003,6.195963883,3.303229575
"glpT",224.2776776,57.33662022,220.1552244,145.359801,318.1956214,278.7550516,114.1369389,4.075261554,2.133323596,2.417640104,3.764400598,2.256679016,2.028965401,2.992106474,2.137481488,1.947669741,2.489851569,1.885443156,2.89169766,2.162568802
"glpA",52.21123602,5.877647868,77.80794585,25.37799823,153.1961088,116.7857576,19.71138132,1.294360999,1.221299563,1.200237167,1.392486755,1.256851831,1.247630051,1.380665204,1.123170332,1.187404207,1.298317384,1.237180133,1.213652996,1.384188475
"glpB",77.62789952,7.414422868,104.9262902,34.40320199,151.9901585,157.5431583,30.04353944,1.187570727,1.134898397,1.192220415,1.284949261,1.200022689,1.157411972,1.197709087,1.132517907,1.156372356,1.316846112,1.142397345,1.240212609,1.203703623
"glpC",285.0908456,53.61837027,210.3251889,211.0180539,304.3693217,303.5599683,236.1695349,1.509372535,1.41314809,1.373893023,1.725648161,1.546969793,1.425087317,1.683812668,1.400807168,1.380876575,1.536503607,1.318283501,1.503209669,1.465665501
"rpnE",1.732982419,1.291516712,1.805176313,1.435781634,1.503094254,1.439065345,1.53760176,1.499432537,1.182212128,1.28065695,1.515149891,1.27464055,1.210691804,1.546396895,1.35965557,1.287332552,1.472470241,1.237645717,1.491931481,1.308902216
