"","0","1800","3600","5400"
"ybcN",2.0629,98.325,163.991,295.58
"ninE",48.8493,343.956,712.682,758.063
"ybcO",8.16992,237.164,550.933,720.121
"quuD",125.05,294.036,616.504,772.709
"nmpC",3892.87,1544.73,1438.96,1303.97
"essD",92.3591,318.644,488.048,662.487
"rrrD",47.1364,127.954,415.894,582.813
"rzpD",68.9348,323.304,673.092,891.895
"ybcV",6.00725,170.918,485.237,482.966
"ybcW",103.524,306.645,635.621,843.192
"nohD",125.424,304.281,725.786,928.505
"tfaD",74.5083,410.9,704.206,764.445
"ybcY",168.145,551.777,922.372,961.186
"tfaX",6.70488,154.673,338.688,387.076
"appY",605.94,572.053,695.192,922.98
"ompT",11647.5,4390.27,2676.93,2621.14
"envY",67.5949,229.942,372.577,369.799
"nfrA",231.743,675.646,562.809,466.014
"nfrB",13.0798,449.903,401.887,516.946
"cusS",401.872,888.718,949.096,904.567
"cusR",529.336,658.908,607.834,547.309
"cusC",14.7416,569.966,508.222,433.171
"cusF",142.938,637.826,533.588,454.764
"cusB",107.442,594.347,524.265,376.075
"cusA",128.116,820.517,673.617,556.2
"pheP",189.214,273.015,309.295,307.767
"ybdG",662.753,789.427,808.273,743.309
"nfsB",2922.28,869.931,966.917,908.621
"ybdF",959.469,893.185,879.967,977.441
"ybdJ",593.139,498.828,495.156,650.011
"ybdK",210.503,669.208,588.667,592.626
"hokE",7.32384,411.071,400.915,449.155
"entD",38.7066,554.973,529.099,535.888
"fepA",293.902,1337.27,821.223,817.503
"fes",120.586,723.627,686.988,637.543
"entF",129.568,307.811,374.177,330.223
"fepE",51.9024,383.794,532.418,463.039
"fepC",89.7764,615.767,749.843,536.1
"fepG",103.783,428.076,430.993,317.568
"fepD",120.085,885.438,649.226,571.815
"entS",121.931,516.724,445.081,352.945
"fepB",129.323,679.491,522.524,403.541
"entC",125.444,839.761,592.248,475.204
"entE",69.5096,426.091,327.625,298.307
"entB",234.986,1120.41,753.83,599.576
"entA",202.385,729.417,554.93,382.748
"entH",225.764,922.182,778.278,587.322
"cstA",578.924,5494.57,798.171,938.61
"hcxA",485.589,309.167,342.601,266.159
"ybdL",425.634,576.478,684.88,715.115
"ybdM",197.149,464.599,615.935,618.918
"ybdN",72.2462,472.413,874.905,819.71
"ybdO",38.1826,251.42,702.319,762.137
"dsbG",885.563,438.993,750.595,849.383
"ahpC",9339.28,5765.72,3462.42,3585.54
"uspG",2921.71,3734.9,1773.86,2279.49
"ybdR",388.613,508.674,844.102,780.893
"rnk",396.418,432.712,682.685,661.141
"rna",1080.94,562.051,704.596,713.253
"citT",7.86957,312.886,721.494,588.444
"citG",2.37102,299.216,582.154,479.219
"citX",87.8194,589.225,837.831,679.646
"citF",94.4762,632.616,753.251,576.759
"citE",32.5852,589.015,703.237,660.502
"citD",37.4713,485.366,810.194,941.018
"dpiB",362.952,293.704,586.595,644.218
"dpiA",332.212,370.82,792.676,706.914
"dcuC",115.316,276.245,646.815,792.468
"pagP",246.464,525.779,994.144,1156.46
"cspE",7853.84,6646.77,2989.14,3801.4
"crcB",822.776,473.977,817.031,1012.26
"tatE",2201.78,478.684,669.357,866.522
"lipA",2910.64,742.884,1058.67,1381.85
"ybeF",62.4322,233.806,622.733,663.947
"lipB",1060.77,510.816,849.964,909.226
"ybeD",1985.58,2236.47,1645.36,2610.43
"dacA",1778.38,299.07,512.376,475.234
"rlpA",1927.78,511.022,714.496,638.037
"mrdB",747.74,613.348,706.85,492.36
"mrdA",514.705,736.662,663.514,652.306
"rlmH",1451.17,1044.4,904.078,945.747
"rsfS",2574.43,1229.56,1132,1390.07
"cobC",251.444,621.641,639.968,643.454
"nadD",1089.95,975.865,1001.48,1026.7
"holA",987.016,911.189,842.705,887.243
"lptE",2692.96,967.204,1033.06,1148.51
"leuS",3826.43,1413.35,1239.23,1343.97
"ybeL",1647.92,3091.91,996.268,1182.47
"ybeQ",86.8483,324.977,478.447,512.631
"ybeR",40.7963,400.076,948.374,1063.1
"djlB",3.87413,170.871,576.78,548.81
"ybeT",6.46782,247.91,674.939,642.016
"ybeU",69.3184,477.009,968.793,855.545
"djlC",130.492,457.462,828.342,776.56
"hscC",179.588,481.485,791.585,681.106
"rihA",495.182,470.518,609.418,569.791
"gltL",925.826,637.545,905.357,825.944
"gltK",551.026,380.985,780.728,679.907
"gltJ",795.688,563.68,708.434,643.657
"gltI",3475.45,2379.68,1160.36,1231.89
"lnt",378.536,389.794,627.232,478.644
"ybeX",1911.6,1116.97,1033.89,1376.38
"ybeY",2051.32,1673.74,1019.63,1226.09
"ybeZ",2459.43,2500.75,1299.12,1500.26
"miaB",1544.47,740.102,660.349,576.613
"ubiF",1350.11,1224.78,1016.21,866.43
"asnB",2075.09,887.547,1043.1,797.095
"umpH",1392.13,657.187,716.272,737.794
"nagC",880.246,926.463,1050.94,903.199
"nagA",939.192,1106.55,962.309,875.85
"nagB",969.184,1324.98,915.707,1023.07
"nagE",150.731,470.024,513.09,664.09
"glnS",2936.21,863.262,1021.37,925.903
"chiP",33.4168,131.958,330.472,278.573
"chiQ",47.2298,333.556,543.15,495.9
"fur",6506.14,2692.63,1811.23,2552.84
"fldA",3195.31,884.706,1040.71,1422.73
"ybfE",644.418,470.776,860.932,846.695
"ybfF",624.761,324.486,604.981,570.928
"seqA",3623.4,1045.8,987.186,1384.76
"pgm",3539.16,1128.88,1191.85,1048.41
"ybfP",93.7792,274.183,703.002,642.74
"ybfG",120.718,258.592,784.715,702.704
"potE",168.675,420.054,855.843,908.531
