"","176400","176400 | 1","176400 | 2","0","0 | 1","0 | 2","0 | 3"
"mzrA",0.655042692,NA,0.66527654,0.716215762,0.311138717,0.309714345,0.322274167
"yhcD",0.486528531,NA,NA,NA,-0.036692697,-0.839716327,0.197282815
"rplC",0.082250496,NA,0.655141549,0.259799465,-0.042570689,0.489478088,-0.024625317
"malQ",0.025494096,-0.203838977,0.341090474,0.316182814,0.101547446,0.518029051,-0.477390107
"gadX",0.353658025,NA,1.33715762,0.253280509,-0.261028388,NA,-0.476771472
"gltB",0.346384256,NA,0.198277963,0.794557108,0.173529885,0.631249215,0.272345645
"rpsS",-0.123048034,0.136153206,-0.426704718,0.350050026,0.426214323,-0.138142877,0.41772835
"rpnA",0.228378532,NA,NA,NA,0.097851605,-0.393544208,0.076231317
"gadE",0.213438182,NA,NA,0.259032838,0.031883718,0.42080225,0.026972263
"mtgA",0.495808909,0.212270382,0.197693729,0.501642799,0.095352339,0.640020896,0.004887907
"rpmC",0.215240236,NA,NA,0.345218985,-0.030938509,0.232345178,0.209951415
"yhgF",0.132348321,0.183275031,0.00738714,0.451741003,0.169553935,0.473192862,0.055646778
"yhiD",0.044166366,NA,0.189814556,0.386986904,0.021613165,0.473476737,0.050212299
"ptsN",0.328082416,0.377055525,0.112137451,0.602749308,0.293156791,0.253645992,0.04933728
"rplE",0.174195018,0.124330209,-0.034139656,0.360535565,0.130809953,0.682424311,0.132975348
"pck",0.103327298,0.201036836,0.335577791,0.216628989,-0.171969222,0.540826818,-0.217044399
"arsC",-0.036748728,-0.960179871,0.151379094,0.715303953,-0.286533753,0.321286262,-0.191202158
"lptA",0.263262992,NA,NA,0.300764286,0.035865439,-0.025251917,0.559712647
"rplR",0.391331495,NA,0.977360843,0.337681534,-0.075805907,0.707761309,-0.090695436
"yrfG",-0.298747999,-0.001341515,-0.378824417,0.157188615,0.044863432,-0.024743954,-0.127448619
"rlmJ",0.281435261,NA,NA,0.804611473,0.361486245,0.430824347,0.14298809
"yrbG",0.050710884,0.400702477,-0.059421241,0.164440833,-0.005172919,0.236198058,-0.109580061
"secY",-0.084285826,0.204267407,-0.105976362,-0.189571237,0.003144989,-0.069073757,-0.140478225
"hofM",0.04821891,0.246932767,-0.028800239,0.172810444,0.237220057,0.021526243,0.447659295
"uspA",0.131297822,0.355121904,0.355007237,0.653657605,0.356825871,0.051769682,0.189155842
"tdh",0.423434105,-0.23684516,0.536833391,0.530293448,-0.150204567,0.799696372,-0.174385011
"yieE",0.461222666,0.321319392,0.77872099,0.309043981,0.135342997,1.12704274,0.207579624
"yigI",0.044397313,0.156027145,1.326622949,-0.050654478,0.074478088,0.287590987,-0.086280348
"fpr",-0.299111913,-0.301770951,-0.265859886,-0.073598844,0.05593092,-0.253702308,0.078596521
"gpmM",0.028723066,0.134795642,0.635536777,0.132332255,-0.014571967,0.497566715,-0.123707733
"tnaA",0.279618073,0.009414097,0.056077852,0.096667603,0.242980212,-0.113594076,0.321161151
"corA",-0.232484501,-0.380509368,-0.303465766,0.174865068,-0.229679868,0.020756873,-0.053106286
"tpiA",0.686162492,NA,NA,0.509757715,NA,NA,NA
"gpsA",0.171357667,0.50869741,0.131197049,0.462509897,0.195415061,0.211491341,0.183280467
"rpmH",-0.158081532,-0.253274501,-0.216672816,0.125763873,0.186034165,-0.086738306,0.213751721
"yigB",0.261032977,0.587948993,NA,0.379368864,0.06546127,0.670972276,0.284422262
"fieF",0.207048251,1.794111824,1.066761255,0.444775482,0.29575823,-0.183387386,0.230937885
"lldR",-0.065471283,-0.138127604,-0.324168629,0.528579084,0.280838256,-0.427047701,0.673221646
"dnaN",0.132475157,0.140540083,0.084059007,0.485587611,0.176581204,0.338836477,0.238155536
"yzcX",0.175986937,-0.095742283,1.337512291,0.607106579,0.434602768,0.011796815,0.779228079
"cpxA",0.135066653,0.181262078,-0.02669587,0.323241457,0.049275543,0.067447546,0.286218993
"mtlD",-0.376707561,-0.31693815,-0.596155145,0.208895074,0.140062556,-0.072739884,0.480338735
"yidA",-0.183978919,-0.438919304,-0.210781028,0.378642741,-0.005503123,-0.238449098,0.423843628
"hemD",0.604432698,1.155738673,NA,0.357519239,0.233499815,-0.046108125,-0.172797095
"rhaT",0.411389277,0.800070372,2.415035923,0.216035285,0.208076128,0.098379547,0.1494222
"yibG",-0.033203447,-0.218321108,-0.167660045,0.052884386,-0.254806297,-0.210855944,-0.118228633
"dgoK",0.257102683,NA,NA,0.231004114,-0.002067639,0.020256266,0.03805627
"aslB",0.020276777,-0.118248026,0.14052607,0.333079968,0.157676409,0.097501991,0.290535875
"rhaA",0.111315814,-0.233574304,0.05447209,0.030621641,-0.108320251,0.302413923,-0.219127264
"malG",0.169844056,0.076557427,0.307673883,0.342535457,0.070415716,0.13098071,0.36009197
"dtpC",0.402639439,0.181889721,0.298594225,0.677799175,0.260207216,0.485569599,0.267155687
"yjfF",0.136595561,NA,NA,0.439402895,0.055795875,0.489741377,0.013878631
"yjiK",-0.080268992,-0.244211114,-0.128171134,0.054776904,-0.465999454,0.041651536,-0.359835023
"yjbG",0.218556285,NA,0.555990424,-0.177317931,-0.176122169,-0.007039376,-0.218554586
"yjdI",0.110718351,-0.021267229,0.094474242,0.208859824,-0.041714186,0.150847816,-0.071088199
"ytfQ",-0.092532646,NA,-0.470413646,0.171882662,-0.072179898,-0.035684557,-0.161153114
"yjiG",0.161968928,NA,-0.088431675,0.120305816,0.093940568,0.237004321,0.264430435
"lysC",0.490312935,0.295480635,0.532677431,0.267896298,0.335788548,0.298586372,0.403940066
"fumB",0.632152469,0.221685424,0.150354411,0.604266496,0.302641943,0.576753484,0.387752403
"yjiC",0.031222955,-0.042529323,-0.098930603,-0.734725955,-0.057863341,0.454039944,-0.132669754
"yjbB",0.397553586,NA,0.08025549,0.539859447,0.382114647,0.348274156,0.270465892
"melR",-0.479799474,-0.32723227,-0.399900881,0.186771978,0.105744848,-0.331233942,0.224047823
"msrA",0.016329539,0.015379577,-0.233648891,0.374270232,0.344835271,0.070849288,0.478506429
"gntP",0.340400495,NA,0.173655488,0.44702332,0.209910356,0.416225869,0.185278247
"aceK",0.362219663,NA,0.274169626,0.355473089,-0.005914273,0.479225258,0.111633639
"eptA",-0.340409681,NA,-0.253777982,-0.12998655,-0.360162705,0.69589803,-0.712513007
"ytfI",0.090609483,0.933047451,-0.175934219,0.54778514,0.065020031,0.33401611,0.089285584
"fimD",-0.078816719,-0.166504029,-0.249404754,0.148743433,0.048935729,-0.074224226,-0.093078135
"yjaB",0.114850971,1.201243593,0.244909366,0.259032838,0.127520611,0.162003654,-0.023883836
"rdcB",0.336283929,NA,2.065750091,0.322419816,-0.007504064,0.289631529,0.139321873
"qorB",0.230230537,NA,0.440471384,0.306182618,-0.136967901,0.079104355,0.386211299
"fimE",0.114688273,-0.044257789,-0.299191922,0.216435733,0.109254461,-0.451159588,0.44615499
"nupX",0.412326223,0.741113457,-0.10355441,0.33771803,0.013702361,0.261741314,0.198907563
"hisL",0.677319086,NA,0.892828879,0.81375895,0.279228854,0.633474634,0.300381974
"ybaY",-0.143483857,0.045148963,-0.297371563,0.18946736,0.253492225,-0.045962478,0.22385229
"tauC",0.350699651,0.287422744,0.007532081,0.431611898,0.536417251,0.014453059,0.337827075
"rhsE",-0.030424842,0.37348187,0.369907815,0.340791506,-0.152117097,1.080854188,-0.407697412
"yafQ",-0.076416179,-0.482991823,-0.301042292,-0.542403542,-0.022328783,-1.415559044,-0.076405202
"chaA",0.16434863,NA,NA,0.236083639,-0.009067963,0.095221028,0.193396137
"hns",0.121156681,0.121562542,0.514998588,0.432364326,-0.209251228,0.981486663,-0.54458933
"rplN",1.080677223,NA,NA,0.464087793,0.205127134,NA,0.101275187
"rpnC",0.302860174,NA,NA,0.785639455,-0.013477082,0.167818091,0.100204177
"pepD",0.073767527,NA,0.228461108,0.327297669,0.163153338,0.303787565,0.330653098
"codB",0.452789498,NA,NA,0.370666107,-0.132811941,NA,NA
"fixA",-0.143791721,-0.148595462,-0.133563398,0.216086324,0.022090019,0.095939583,0.050333964
"yadH",0.215240236,0.4280003,NA,0.435124097,-0.127672302,0.623528525,0.077728975
"yafO",0.246552501,NA,NA,0.395006873,0.18842144,NA,-0.452637792
"gcd",-0.037236645,0.02091242,0.028557432,0.331873906,0.184372045,-0.035633419,0.188581607
"rayT",0.295570815,0.68312151,NA,0.337387643,0.201195728,0.315853265,0.191483545
"yahN",0.09143254,0.810071947,0.686315069,0.386480918,-0.455031236,1.051345962,-0.072850045
"caiE",0.325343943,0.157170431,0.183710841,0.564534816,0.187534219,0.073889779,0.400541518
"speD",0.307512186,0.624115448,NA,0.564757954,-0.011938393,0.646128497,0.133627932
"yafJ",-0.031934198,-0.054543725,0.007026357,0.415345448,0.027570148,0.158123413,0.160033762
"yahJ",0.394275876,NA,NA,0.506187452,-0.058250893,0.249981038,0.073469924
"dapB",0.312283653,1.010115337,1.076745475,0.429661201,-0.010412946,0.295357401,0.112250096
"lpd",-0.20934017,-0.340201919,-0.565343638,0.321030962,-0.125220534,-1.421572932,0.437454882
"yafV",-0.312524173,-0.33036375,-0.254385867,-0.100990938,-0.101515952,-0.159039758,-0.068111613
"yahF",0.147013067,-0.226866397,0.266006858,0.306664714,0.220977474,0.481663751,0.138645108
"lspA",-0.000218385,NA,NA,0.468124357,-0.021616348,0.113415455,0.124826652
"aroP",0.017784524,NA,0.570767481,0.102412753,-0.187468428,0.345364531,-0.005913838
"rnhA",0.021648246,-0.160055701,-0.047391441,0.08099151,0.076094215,0.108644582,-0.094777749
"yahB",0.734223938,NA,NA,0.41961193,-0.327158066,0.399486867,0.05977552
"clpX",0.175986937,0.386179226,0.402682823,0.264862381,0.014563063,0.274227026,0.123868095
"sfmF",0.225226265,NA,0.261722865,0.570597505,0.338666042,0.311551349,0.253394067
"mrdB",0.053520807,0.08766071,0.024274295,0.212474804,0.094263038,0.32265923,-0.118703515
"nadA",-0.18630994,-0.09629345,-0.148310647,-0.101143519,-0.166800567,0.191482444,-0.099385547
"yajG",0.015086638,-0.050454901,0.107712848,0.273043552,0.012559663,0.332794884,-0.113596748
"sfmA",0.395202866,NA,1.921843515,0.312809504,0.337719523,0.092531889,0.246332213
"dacA",0.69025,NA,NA,0.623114579,0.172853663,0.345364531,0.543245642
"tolA",0.146404385,0.379602714,0.51022381,0.358510576,-0.014253301,0.102652986,0.016727998
"cyoC",0.565958016,NA,NA,1.134094101,-0.13488495,0.544099039,NA
"cysS",0.725871863,NA,NA,0.662922179,-0.069142862,0.437765547,0.333482388
"lipA",0.287175149,NA,NA,0.542860803,0.079276971,-0.04136169,0.09791238
"ybgE",0.276285999,NA,NA,0.68722076,-0.038822341,0.1899906,0.041595772
"yajQ",0.066770985,-0.33640063,NA,0.388878909,-0.02717836,0.355653303,0.305198872
"purK",0.216920294,NA,NA,0.435124097,0.18198733,0.341855062,0.197726879
