"","0","0 | 1","7200","7200 | 1","0 | 2","0 | 3","7200 | 2","7200 | 3"
"purL",16.2233516766405,9.18958683997628,8.87655577654276,10.5560632861832,9.78112222153655,25.106691132696,10.5560632861832,10.1260527517622
"mrcB",1052.78855849581,724.077343935025,407.314679682518,324.033688056392,1144.10202938595,809.002303348098,621.667780810264,556.408249613341
"rybB",19.8353231990238,19.8353231990238,40.504211007049,69.5510312016677,22.9432839682532,34.2967508011614,70.5219274161031,64.44515520363
"agaW",18.2522194538948,19.5622444430731,20.5348143610065,10.9283220540352,15.242207968703,40.2244279846985,12.640660989814,10.7034204382889
"lpd",254.231678831881,187.40296908104,410.147777325886,1112.81649922668,1016.92671532752,196.720023204866,1234.74721555534,1379.56718271047
"insC1",128.89031040726,106.891253686831,302.33412132596,97.6805893734758,177.294011918198,56.8859315946605,107.634741152475,81.5718801484328
"queG",7.41270449512297,6.54321646846225,12.1257325320832,8.33972608672897,11.4716419841266,7.56846117380477,8.45614432449104,7.88986163594687
"ubiU",2.9690471412581,2.80888975147599,4.65893434587382,3.81055199217575,3.116658318642,9.44794129143624,4.02782220022687,3.01049349482213
"mutL",7.41270449512297,3.81055199217575,2.07052984768276,2.65737162819302,3.89061978964914,8.33972608672897,2.90794503464062,2.49666109780322
"cycA",280.139187522749,385.343167337233,261.379104181041,709.176047672794,252.4755723503,592.224350159507,347.290707826604,282.087709664412
"ygeI",4.95883079975595,2.92817139189125,3.116658318642,2.12874036490672,2.53151318794056,4.11245530662427,2.84810039119414,2.42838976879009
"mepK",248.999666537545,151.16706066298,159.786310259406,144.007486040168,484.381515123505,101.125287918512,278.204124806671,319.572620518813
"flgK",6.49801917084988,6.45313407377701,9.84915530675933,9.84915530675933,13.1774562762812,15.3482259092042,159.786310259406,184.82293702688
"yqhA",155.416945202566,205.073888662943,235.568038559968,294.066778879241,265.027820503393,168.897012578931,310.833890405132,261.379104181041
"acrD",38.0546276800871,44.0173381804718,9.84915530675933,15.7797232718937,28.246495881301,9.00046787751048,77.1717009722086,76.1092553601741
"ynfC",31.5594465437875,41.0696287220129,98.3600116024328,95.6703519126361,46.5271205542499,27.2843165365746,65.7992849059883,51.6250725902161
"clpB",1016.92671532752,694.581415653208,8422.30846796649,17559.9364101946,699.41261145825,347.290707826604,2778.32566261283,3717.19846017909
"gapA",1964.57291637814,1398.8252229165,2105.57711699162,4640.29239417159,1795.28851725524,326.287520593731,3769.08861695949,3717.19846017909
"fixA",5.77571678208998,6.27667278317401,9.57982963695143,5.8970768691644,7.01284577052828,31.7789598539852,5.9380942825162,5.77571678208998
"adiA",10.4107348435355,10.8528346195814,27.0958499956009,115.360059214186,16.7954669379691,10.5560632861832,770.686334674466,689.783591355233
"add",14.5203064850746,7.6211039843515,21.1121265723663,54.1916999912017,44.631797323213,12.7285837400787,74.5429495339812,69.5510312016677
"alkB",21.8566441080703,14.4200074017733,63.5579197079703,145.009137317862,38.3193185478057,24.0839479585771,80.448855969397,74.0280437699384
"relE",7.56846117380477,9.00046787751048,9.12610972694739,5.5404378724437,8.22491061324853,7.72749063139877,5.20536742176773,5.73582099206331
"ytfP",57.2816045393902,58.4852128146816,55.3303828037034,68.5935016023227,79.8931551297032,53.8173705762377,98.3600116024328,102.536944331472
"ybfC",16.1112888009075,8.87655577654276,16.7954669379691,37.791765165745,12.817118041434,7.56846117380477,15.8894799269926,14.8254089902459
"adiY",4.37717480504296,9.38267959385503,27.2843165365746,125.365798091127,5.38893430746276,2.86791049603165,215.269482304951,233.940851258727
"dgcM",77.1717009722086,81.5718801484328,243.875327499248,427.565014747325,78.2489777722924,268.727471007505,340.143568408707,396.176638346852
"yejA",17.0299229192538,32.4467033532809,44.631797323213,135.298309191857,41.3552905803998,10.2674071805032,103.250145180432,148.056087539877
