"","3570","3570 | 1","3570 | 2","0","0 | 1","0 | 2","570","570 | 1","570 | 2","1770","1770 | 1","1770 | 2","3570 | 3","3570 | 4","3570 | 5","7170","7170 | 1","7170 | 2"
"ydcY",10.64494898,11.007306,10.71706695,10.92330062,11.05677163,10.93981069,10.89785678,11.49626871,11.10556435,10.63039573,10.76665402,10.09782269,10.39488634,11.45007825,11.25178208,11.47102966,11.36566635,11.14594623
"ydcZ",8.034080829,8.042722069,7.388974813,7.882944935,8.016865878,7.68094581,8.273641581,8.393019682,7.524952222,8.067425063,7.275559612,7.201090851,7.355422337,8.512478119,8.392195698,8.045518732,7.987722254,7.035457314
"mnaT",9.30863129,8.908852085,7.894833026,9.271375785,9.381935938,9.028466815,9.689070185,9.386920213,9.005077299,9.232228064,8.385757993,7.865902292,9.123102527,9.701778941,9.753688687,8.526446353,9.216819709,8.444499627
"curA",8.671835478,8.357688689,8.111029108,8.169717207,7.076165153,7.137373873,9.090186525,8.537174478,8.684460865,8.949561318,7.881003951,8.52210927,6.911814595,7.988529538,7.795654345,8.315462673,7.934485448,7.902597716
"mcbR",7.243431657,6.932635526,7.15202511,6.740806014,7.112874403,6.922858989,7.762422881,8.025562115,8.093997561,7.690474055,7.052697842,7.830786092,6.948647409,7.161509907,7.153753512,7.758312214,7.039471064,7.201317895
"yncD",7.212748026,7.17136079,7.628670769,7.433102366,8.143945059,7.374703839,8.335745918,9.064749688,8.208575603,8.836805321,8.079167456,8.380930627,7.904867147,8.371613394,8.82800938,8.721225838,7.70659131,7.341328557
"yncE",8.144015664,8.000799804,8.267273182,8.261942236,8.818397893,8.091816649,8.441046323,8.907804897,8.128947325,8.65527435,7.969834154,8.007815974,7.549020673,8.232187202,8.380401696,8.817405183,7.860761583,7.490405099
"ansP",9.161013151,9.272690362,9.080420559,9.031070117,9.554112075,8.724891467,7.790005036,8.037129053,7.794887667,7.967612929,8.115347387,8.029375115,7.294883328,8.484558089,9.218539571,9.111129477,8.740464278,8.793327032
"yncG",6.951912101,7.239745508,6.848196109,6.771985189,7.055088849,7.032360139,7.108916146,7.043446351,7.133671493,7.143405652,7.024993048,7.227606498,6.786716262,7.176160189,7.366222356,6.802670234,7.031315794,7.075678221
"yncH",7.353673651,7.607619092,7.078934326,6.757883111,6.434146063,6.577233761,6.824247124,6.425421253,6.865364892,7.770411473,6.607360999,8.009890567,6.364211532,6.950274381,7.217112803,6.946646645,7.676537446,8.062131213
