"","0","0 | 1","0 | 2","0 | 3","420","420 | 1","420 | 2","420 | 3","600","600 | 1","600 | 2","600 | 3","600 | 4","600 | 5","1800","1800 | 1","1800 | 2","1800 | 3","0 | 4","0 | 5","0 | 6","0 | 7","420 | 4","420 | 5","420 | 6","420 | 7","600 | 6","600 | 7","600 | 8","600 | 9","1800 | 4","1800 | 5","1800 | 6","1800 | 7"
"chaC",460022,229228,414084,168754,378139,171342,459374,208077,482382,404943,194777,52743,323983,140600,213866,71853,181646,88290,442499,212492,280481,359565,353319,264561,235012,184380,169559,156027,374035,221007,318917,209757,175987,191849
"ycjR",174959,56371,123218,64022,77568,29662,87325,42998,112836,62299,58614,22745,29875,16623,64397,21614,240823,154867,176448,77017,70178,60849,138843,165068,60415,83348,74018,66365,154903,105776,144691,73460,221719,172857
"ydcF",257007,118382,216116,91940,226237,91910,204228,150761,262439,162151,116978,42761,122105,81107,121001,62858,309948,208289,262989,163795,207202,204145,229844,178671,130820,147992,93678,95013,223876,141503,196968,118833,117722,94905
"gstA",1778702,1056754,1461550,815277,1766022,1391377,1239012,1262120,1830564,1189368,512960,265185,619628,588471,804782,285248,572154,448808,1188715,832465,876714,971780,1039026,792815,680320,944287,543495,492478,1155826,1184996,1275233,934875,402899,490973
"cedA",168128,75209,109351,63881,105256,67690,88302,57511,117968,61441,52342,26083,62356,40734,83540,25248,195975,134246,140681,79820,117220,125765,128775,91443,97488,92476,68255,47565,129489,103454,105190,80946,115848,87834
"rsxG",194483,49699,110354,62887,133089,37614,75288,72110,147430,178993,194558,26144,227212,74114,112338,57369,348351,103209,173157,84064,154638,83619,150242,124162,129399,84382,79449,74218,178790,57626,147942,139803,133022,67354
"hxpB",450455,417288,446191,160684,456499,380710,567638,402179,641395,289690,290810,176570,413278,404427,376760,165526,670338,551937,362139,267262,312877,254390,404765,470084,285610,252536,235643,215629,427092,276083,324236,173315,151101,245667
"kdgR",609938,318692,477662,318436,529753,324857,396769,441736,623327,459288,387381,148811,479251,292906,357480,183468,748943,445283,539527,317722,493457,387279,510097,366734,294714,378778,246509,167313,501744,464076,509224,327884,230601,187218
"yedE",1410486,374378,621234,651600,783368,478141,442416,697796,809709,689783,953878,225746,1206928,494953,589584,353171,1169348,718138,1178107,935228,1298981,824410,1825576,1263024,960733,1030376,457040,427747,1385375,725331,794903,586610,398002,411895
"rsxA",234314,134115,183560,47670,191148,119333,158483,110591,193650,82195,111947,54928,134240,111070,108974,38439,243791,149714,162398,92287,148251,61025,149771,137907,115575,70143,86619,66680,224568,75396,110176,42703,73562,102818
"pfkB",1399996,777759,960328,639392,1293055,685344,705998,923413,906482,794635,681694,258654,895346,311233,872227,403501,1466423,905020,662159,493559,727386,500116,929289,561184,373498,562514,154869,119197,404162,316772,400209,184419,129894,162410
"rlmA",157224,66276,158855,33570,100019,81554,112479,48454,137259,68147,69894,20206,69287,39568,67577,25297,182042,69179,122992,67697,103396,41490,147003,74597,81992,27657,74687,54959,109772,41307,71143,34830,59449,57474
"fliS",136576,48326,103623,45046,73052,65676,72219,47206,102740,54672,40571,14653,94895,30563,62821,22560,131958,58368,98942,43565,90177,30125,79922,57377,59169,23797,45506,13773,77831,56277,53613,32539,55225,37068
"add",385461,271984,590038,123391,307917,225138,851582,175774,726133,212716,164574,102464,245252,220624,221151,60167,586081,599579,575556,267112,324064,478993,302884,277529,280060,149788,201905,244423,549124,261948,382988,186498,242761,308473
"thrS",3651905,3216922,3906917,2679026,3216748,1536547,4014799,3242615,4310688,4041279,3224128,1529591,4024912,3250550,3976897,2253968,4790920,4628915,4731885,4331315,4334770,4499583,3545185,3426300,3580954,3472209,5279485,5910752,8653012,8424146,6840694,6897521,5317302,6633289
"manY",1815208,619848,1018167,538569,1394197,302058,955653,753783,1282177,762278,370568,175397,683178,404200,717062,142256,299331,288500,1862701,822899,1073195,1761780,2277353,685446,616229,1324964,949128,519444,1250942,1214269,1348071,473900,363074,734324
"fliZ",114678,45843,84130,38411,53404,22733,49913,20744,72844,37146,156344,64364,50327,28166,57487,16169,78923,41255,125786,48659,71419,74136,124196,61241,66941,55758,77156,68770,117643,95853,84226,59061,86619,85407
"hdhA",1385592,526158,878294,477196,1321655,771572,1632363,741056,1828334,2000447,906238,246113,1558811,674628,558975,310292,2332586,1220890,1227015,574020,725907,1077645,1312230,1188156,724186,741094,522254,538095,1296872,749362,712044,440299,323464,314738
"pheM",72403,36052,54494,27622,63982,35645,41515,30058,65733,46292,71390,34458,40051,20485,54426,18224,92736,40130,84611,30163,77974,52350,74249,41564,42899,48588,76722,80632,50026,64571,44996,21647,89213,89368
"sdaA",178933,85352,143258,80259,142056,361759,436944,76509,166797,582615,466700,30127,647151,63282,100744,79141,646430,154259,184227,89827,177486,124412,153212,393049,304134,90950,87232,348138,796992,109407,141210,267399,206371,58332
"tcyN",300999,120196,203746,121407,290591,129156,144008,184696,257503,141426,168546,52352,195550,97214,136325,26105,226744,214131,232303,136218,215225,154511,317394,192571,188489,171286,136897,82707,225861,173162,202979,107247,94576,95371
"uidC",115005,36736,85451,35040,77337,35906,63841,19472,89355,38921,53485,16092,43121,21458,64128,16703,136093,44723,133937,47252,109451,57775,101821,53648,71655,31620,45685,35847,75422,40395,67042,30622,64603,37863
"btuC",274417,142565,189543,77678,163274,98175,137960,87423,221802,110324,222385,92646,105895,63909,102878,35348,271003,111204,189310,102597,181211,96782,165359,115567,86691,72812,87488,72858,129489,86137,121128,69350,106671,68362
"yoaC",1144330,874061,967947,747516,890804,678403,694619,969295,934747,362872,322704,430538,572455,966473,703985,149969,752075,1037960,1555938,837262,1033487,1569340,1017548,656844,369385,977568,364357,218477,371513,729073,563666,149931,228463,399588
"uvrC",318506,153110,255011,99113,246820,123242,200561,179456,259353,216677,193793,59998,335433,156976,208323,71690,516622,247512,281720,168509,255669,91251,280590,251007,217577,146036,180176,170431,328407,180563,244982,161205,207401,180441
"galF",278394,278013,382574,124551,477202,346561,365989,316497,490945,369036,189958,123120,235655,162616,210968,107953,470839,229373,235846,152178,274133,147412,256096,322908,247178,180263,132639,117181,342588,194848,360536,138795,133526,80347
"mdtQ",107515,35910,76769,20980,50517,27425,44123,17051,56427,28122,88364,36574,59494,36972,42209,13424,162238,37470,130345,29419,100874,37163,101427,36111,61022,17185,51198,18251,108200,35291,62074,36815,84596,44773
"yfaE",262816,83656,181786,143424,229729,117460,104826,127765,202316,244521,263093,63929,314589,110124,158079,87461,396307,168764,203013,125983,239119,118902,378537,371434,211331,144040,107587,91650,389746,183405,235259,252736,128844,64408
"yfcO",550004,340822,405465,275596,412836,441464,336719,283710,389722,361209,340922,132877,443532,297339,366109,198917,913087,478011,610435,394933,523350,491508,514981,431849,285878,425249,252953,185126,536666,491072,458873,318171,234041,232204
"rfbC",483111,143055,201382,217836,339722,191008,141818,233782,292689,286451,280276,91287,303303,137651,230620,102110,355094,301365,362744,256539,266635,247932,568712,358108,238341,310123,152916,94234,307239,269437,251004,189994,100420,115586
"yohC",655941,243396,327822,281247,309876,236978,182587,229497,259329,86268,111537,64230,153685,121609,192586,63734,286985,207756,734192,308723,400632,534938,420663,215499,178280,186768,259673,153683,515876,340540,489828,243445,223408,258880
"ubiG",212349,112128,195731,51532,201611,84124,229546,100904,256609,201044,226756,66073,288835,103861,165637,61795,537174,449499,277552,193503,232838,202714,251829,148491,195451,123773,125526,184228,391517,178205,189240,104106,139509,169377
"mepA",174710,83458,154360,34237,106958,19106,103614,59680,161900,166864,223723,68507,198540,46237,130290,35655,308904,325668,128301,112235,142476,79106,198237,77928,119785,83794,115958,116893,224373,131444,144244,137606,166028,136416
"wbbI",262156,111555,227720,87143,213093,77969,311679,141040,378141,221428,164847,75739,268232,135439,206227,68615,386335,332108,625099,324114,317324,597905,673191,379559,360554,495971,452039,462919,870172,711581,404828,382435,279623,299727
"osmF",231775,84546,185125,77698,105034,24894,111090,62055,193382,54457,210074,100843,89862,64394,112223,21017,137673,60327,443637,171145,225292,290360,269076,104225,91876,122714,146117,79596,181496,156673,212569,42026,86683,162776
"mnmC",130462,51968,119434,32583,129124,52898,96157,58466,125694,71004,94295,29912,113182,52112,186005,45381,331316,211023,202486,106935,181037,119330,184268,138500,134020,70878,65279,68853,185197,79622,131769,87830,128406,99133
"gnd",474923,232902,428278,220717,930482,411233,478430,444369,742449,656543,603302,182920,728238,354039,714190,174986,1672012,1401950,1335648,764256,1014292,1062029,1158841,1026570,819464,799702,1157133,845109,1834163,1345271,2023213,991321,574812,794514
"mlrA",279980,129402,161995,83036,120740,74232,97940,78818,134481,48718,68102,35215,54027,42396,135017,18372,201371,191558,275204,132584,167776,203740,186921,52707,64124,113649,116842,51150,206919,229202,128099,30687,85387,118221
"yfaQ",94384,32272,65960,25543,59481,29764,44636,20205,61571,32300,42177,16137,33236,13706,37908,13635,135123,35759,87884,29052,70857,27321,62225,29398,47920,20757,33845,28496,47742,27752,46574,25565,62277,52084
"pdxB",293224,268254,285560,113569,330887,190505,221566,212231,326713,279743,289656,88571,452563,224451,249082,111988,667664,355072,261047,275343,292268,186716,308411,356488,251237,209964,195680,271717,500606,204005,335918,198974,249945,248860
"hisF",488870,234957,303788,222094,470160,249925,360872,387968,450669,2393574,2678006,122963,3702469,277397,480122,282555,1340915,732646,485242,523426,559172,307259,636610,607745,428701,485220,345667,558006,1463328,697606,1044354,758542,389861,468866
"yehR",106690,28132,75258,20173,59087,28034,53682,19460,63531,24724,120858,40507,49625,19297,59730,11677,175019,41555,158811,34777,122915,36480,106665,33732,72747,20119,55208,15806,80718,60538,45339,21313,71013,24702
"atoA",84706,39236,67477,24786,56355,20635,38382,18251,59754,30851,362483,140560,55059,13447,39218,14724,132426,43527,123474,35715,87541,23335,104365,40837,63838,23261,55932,36839,139683,74700,60984,27586,87344,53254
"accD",781195,694879,686975,272694,1003988,756811,747598,568281,850018,806352,752290,294139,1247295,660201,535153,266602,2098640,785612,806031,562076,716978,480689,658747,1003332,729767,415097,522688,701880,1460344,552165,889027,634613,832125,701904
"hisC",517890,133711,173867,168724,275308,200388,219701,197784,245537,1939512,2137460,97785,3286686,221450,244561,291496,1076216,387989,450122,302798,411826,356020,877917,661342,380255,416312,327149,480841,1107895,456995,381325,445502,307521,241600
"yehL",55893,29297,44909,15677,31374,29552,34946,14254,39847,28463,240655,98238,39481,15518,31695,13083,109900,33293,88145,47774,67358,24671,59705,36780,43868,24479,45155,32383,71735,37790,30562,22970,47271,26121
"rcsC",295326,167585,215267,112849,276913,179909,126934,152832,206908,202466,295576,90813,321263,139101,265677,133397,576994,367632,314032,270915,362857,187375,553547,315259,236320,316946,173330,81616,370504,317255,328936,338138,180272,132889
"purF",453369,184177,242538,160033,466721,77127,66567,238244,335734,436385,598022,106247,983119,186839,361883,267812,1162031,523036,161347,323330,379991,57110,732663,245202,220627,331832,234644,82391,302781,312863,278165,491876,433733,192941
"eutR",259179,133501,175185,121393,154384,73117,132333,61329,195423,117011,80489,47541,97680,41673,256426,124866,531983,317347,207178,87727,151720,124380,169396,57784,110733,98818,215152,158008,298103,213495,179815,140815,242536,154660
"trmJ",453581,248337,462773,144958,432101,137300,670904,273591,903023,569302,272894,123634,668610,286955,380982,136181,1594556,1209388,678015,463370,612029,632422,762395,521061,497616,336158,556297,704698,1295259,690973,1000726,754012,456853,479826
"yfjT",131909,37922,85520,35631,64665,17527,50428,17097,79973,30852,285022,92617,54766,19843,172871,80853,145035,52421,145362,48717,101070,59049,93652,28351,238492,135673,77097,53131,98099,51199,73881,49796,104778,70255
"ygbM",161105,111875,119929,75623,90611,56951,62004,28351,124884,102260,105260,46576,140267,38352,150091,78748,214130,79305,207027,125048,139093,147754,141553,69681,130615,111382,363206,369489,1071377,632846,414617,362502,647546,523682
"yfeZ",192100,90663,159421,69068,170923,79069,193116,100988,218835,171938,159712,62135,192958,90831,107993,61696,288820,225276,210502,135019,165201,157623,229442,223675,171925,144793,133457,192107,468251,221472,249114,190004,148004,153944
"iscA",1118075,336765,557117,420835,1337118,893307,1510209,744703,989889,2173021,3723299,411160,3242802,388722,1022615,837747,4453191,2705035,1292736,1093212,1361395,1361329,2229857,3339844,3429835,1945247,1451221,4650920,7715443,1856313,1711480,5227369,4118642,1289252
"yfjP",80805,46226,67853,28211,70237,32343,44504,25577,42614,37068,44671,17367,183474,27315,188208,68491,184184,84607,114752,47120,100627,72337,103752,57308,60306,45715,72110,73922,228362,144243,66149,35487,137320,77649
"ygbI",453623,320907,380810,220758,268301,170823,180789,158206,257268,311445,816883,311756,355456,122523,356639,155763,904397,509006,415303,262806,427326,406873,521607,417587,335350,440247,425754,517398,1052373,692693,508625,449677,773355,596384
"murP",88109,40429,44069,32037,42516,21598,33853,23006,45291,28967,42140,15502,35793,21072,42279,15893,136612,62268,126744,56770,99660,80164,96056,51053,53251,45214,91473,86709,41422,21491,129740,85299,88835,58271
"iscX",626464,406874,361439,298656,483700,566488,573507,411483,548089,1992306,2491937,221222,3460981,350379,618772,540184,3085598,1073332,538750,625625,651218,516536,897433,1713093,1002048,678497,373950,1268382,2571514,571367,592932,2246883,1387599,385594
"abpA",127729,77974,97434,44354,121095,42860,65629,58145,110817,55168,378727,113991,126994,44289,95852,24146,212362,88811,125416,83431,114184,77498,181330,97904,80680,84055,79331,73566,181591,95599,113200,82905,108267,76579
"fhlA",154686,69271,116874,40480,108159,46363,82114,56039,128177,45771,93890,29372,76876,48938,85602,22388,277183,106979,212582,106186,135647,95195,139619,79284,93176,52904,77456,59667,126146,72333,75780,41535,67432,62993
"cysP",607643,865794,1159540,283024,1367758,1066159,1065494,990640,1615032,1810785,1716175,576339,2284810,1180060,703774,178746,944917,962242,297402,367577,503569,229478,613447,1566680,1102575,471174,428425,752781,2205987,664127,276418,861178,485407,112604
"yfhM",473144,191036,372221,213664,320915,204793,182005,136321,301575,199976,246034,74052,335580,178953,263855,115182,562991,318335,477035,284333,396917,331261,514005,380778,247597,366755,330567,222849,834343,489600,674850,424818,735032,608687
"alpA",61570,33232,50133,17483,57299,30058,42162,21541,44826,26765,55053,19416,54975,32586,46489,13904,149743,44430,101542,34436,95105,34101,79681,50320,79478,32762,54381,41107,101633,34678,43924,30118,46145,25521
"hypB",118404,47892,55408,36438,64613,33067,42756,38495,66101,34541,65241,24162,65333,43175,78930,22983,184554,96349,158861,93566,139899,106018,165969,97997,109609,100336,88450,69549,162224,83973,97447,71962,92008,70083
"cysM",688359,292893,297067,251360,568800,367973,409374,428509,794095,558921,646322,233573,741397,384099,448371,166581,818019,736727,713719,437176,487801,521663,561296,792746,600570,393451,306710,370373,1233504,394995,515600,392611,336088,290976
"rodZ",1654502,1562787,1297967,860004,1508878,2115741,1356604,1304174,1685730,1201829,1138161,510621,1557221,830499,911296,761954,2628467,1689208,1077495,955680,1127329,896870,1520112,1482820,1050691,951325,535994,639294,1885454,1070063,755660,819841,547133,553987
"ratA",222024,107689,146859,44146,144715,69340,263911,74825,276217,182133,189371,57026,337075,138484,215786,86935,725042,735431,363992,215195,280644,263039,332978,178775,198418,165447,278598,339031,665354,342209,525995,436024,398932,417880
"hycC",88869,36996,59230,25359,38878,22464,62869,16696,50761,48424,222204,48660,136374,18201,33672,45241,400401,71197,95092,45215,74276,43911,70680,52037,167184,36640,41121,146777,336764,64557,54226,200255,289233,53199
"crr",410213,176749,276380,132126,308866,56184,251328,197833,519737,338517,271786,120493,461220,214706,272880,95838,914449,927848,715544,394108,422593,720681,627684,405105,384237,450441,452650,274922,478337,440861,474221,287934,269419,383875
"bamB",291492,114849,202942,96226,176495,75407,265548,96337,217550,296657,523337,91423,993048,193115,312590,146577,1280857,672047,643559,373494,547360,591564,633369,717440,620288,377419,369401,590989,1344091,445265,614921,504916,524955,404746
"nadK",129261,69770,105121,39072,89374,46796,83734,39892,127377,63730,167829,69425,172105,95718,150762,66500,416818,361890,339637,151297,227145,274498,255781,206900,158876,134509,90407,103308,215163,123998,135935,82779,89477,113567
"hycG",84160,52413,75955,44094,79579,34274,53724,41270,87281,71416,166332,50452,105376,48512,120126,39872,493166,318413,147267,99891,143162,95473,181697,121144,99939,106434,129637,151202,259707,157787,144637,92412,124692,145241
"lysR",118023,56211,86725,27864,93502,39009,72326,29242,95882,53826,53914,18140,53830,21429,51885,17211,166283,92108,132405,62413,96362,43907,81179,56313,84969,45028,109403,107838,312571,173807,79436,55532,125906,64058
"yqgD",124231,46568,86400,22623,60313,32647,55495,20532,84631,29776,147437,43681,39053,17638,64197,15432,172630,57356,167154,36804,106909,88897,108675,23633,67726,38952,28011,23353,132974,78880,67659,33469,19489,15982
"ygiD",230095,93462,165469,68830,154214,86120,130127,69171,194761,90795,90363,29925,112827,39147,102786,34585,355135,155389,237169,123186,209983,139512,187149,99056,113078,80592,102253,88903,238779,139610,96861,77504,122112,93176
"agaC",73156,27032,41713,17263,49818,22021,62606,47869,53899,15480,36410,10403,61389,30822,33448,9289,83072,30951,91329,23134,64557,28387,64135,22923,35377,16103,69588,57004,21648,8451,80122,67027,27352,13483
"lplT",92384,45869,48430,34429,64153,29015,43849,36324,52926,36244,464688,164826,84817,23700,93314,31658,230662,81361,187889,89539,144473,82643,133950,63529,79598,59575,64376,44757,106773,67489,63692,46984,85029,47652
"speB",310649,174287,208410,111450,224713,154641,193904,134151,204253,156700,199470,59981,403937,101897,166797,71573,417321,187329,314235,214708,229629,222933,330446,258053,197015,183067,181989,198012,423210,223497,236406,207758,231990,167169
"tolC",337864,240700,262634,140657,301475,296009,246691,158287,272599,212055,191791,77800,271055,102621,218701,134417,524115,308144,286291,204644,239636,261894,286711,259398,229095,193213,129389,137557,346603,163833,188588,143244,130232,144190
"agaA",114195,45168,72136,33440,60516,30631,41196,22848,58063,21320,58802,15541,61674,18972,70679,21543,194929,59767,192399,73358,139085,61387,102434,56715,91646,27756,63914,37012,94836,36834,79854,32901,76281,45744
"mutH",194044,87169,134018,45149,158484,126585,111186,59887,155024,68266,102603,40867,116663,48348,105340,43263,290658,100433,213149,89171,214928,92861,212057,140463,114716,74935,174032,108097,247095,123112,221113,88499,167635,105172
"cmtA",104484,29764,67232,20831,55459,26531,47434,21440,72072,24532,85655,24999,68690,23668,63754,21279,222272,59075,214633,73312,123662,37762,141826,45535,93064,31307,51735,27733,94179,32143,61668,31684,73564,51732
"yqiA",531950,360564,285915,186347,278847,359424,303639,180362,344491,194777,239902,131455,347708,166587,263053,155656,805548,541558,558269,369336,393231,399560,614263,368548,231603,334339,311516,259020,634851,389703,327498,263576,260461,296918
"agaR",410952,322618,245166,191871,313912,380571,213941,167689,267663,189241,322425,131342,409268,178297,255237,141299,584993,421464,536387,354213,381102,309755,455172,321882,325210,245709,250691,191467,611604,343434,337586,205657,266727,257739
