"","0","0 | 1","0 | 2","0 | 3","420","420 | 1","420 | 2","420 | 3","600","600 | 1","600 | 2","600 | 3","600 | 4","600 | 5","1800","1800 | 1","1800 | 2","1800 | 3","0 | 4","0 | 5","0 | 6","0 | 7","420 | 4","420 | 5","420 | 6","420 | 7","600 | 6","600 | 7","600 | 8","600 | 9","1800 | 4","1800 | 5","1800 | 6","1800 | 7"
"ydcH",1104890,648658,692227,663648,998742,655551,743737,1005221,761571,656809,542043,319451,661702,675759,776507,222042,1081275,1251759,1737032,1583688,1417046,2666854,1286932,980758,504890,1574094,843764,435231,666895,1280819,866228,429437,291212,621083
"dgcF",176206,55633,110213,41749,105503,47685,82956,41146,126780,48239,56435,20962,58712,38246,70662,20167,186114,79974,183113,66460,125156,51290,108317,67165,67345,54829,40665,24146,81375,37650,55257,29395,68137,58441
"narJ",158843,33130,116048,46206,107030,53935,74826,45830,123304,68802,106234,21517,131277,54440,88377,46292,299166,129644,221940,94582,174945,81676,162996,124358,125660,42317,67659,53714,131238,54880,89700,44103,100826,47299
"tyrR",467540,326801,400335,174549,362374,333216,310013,292341,414739,313779,263998,101079,368210,245310,285706,147296,651415,341703,380140,282021,384732,276293,449221,367708,266328,212685,106718,84410,274312,166280,251943,160857,144096,118164
"ydcI",627792,267849,364700,264227,397465,192598,180419,283519,322546,126441,114559,61321,142153,153808,285479,78455,346603,357410,570099,334044,573542,338048,647489,165566,156321,387119,171972,66718,208603,246728,259931,111176,106307,98505
"lsrG",733553,346270,635258,408630,815112,517010,742303,729570,499081,760130,676188,115125,884491,213549,489460,57209,278162,561621,751050,327040,533372,552686,1254588,800717,482579,670918,162342,94890,380410,315642,170672,137954,99359,68475
"narX",494441,266649,284374,184375,356157,179759,214047,228647,356271,257932,203544,86664,345471,203109,256616,153955,887945,557023,361910,207950,265600,139101,421154,267319,181439,206069,161416,94474,248504,211488,201116,157052,153841,125290
"ompG",79768,34765,58099,27480,52177,24239,38272,13885,56152,21535,189794,91722,40383,20707,48741,23101,148063,51941,105932,53304,80295,33169,94524,31304,111786,48414,67492,54758,68752,34977,50880,26088,68583,41982
"cybB",472064,283551,542638,148927,433120,213178,714726,299903,895666,589971,296770,116293,526553,296058,406591,176211,1248524,1346757,469589,327893,373059,436188,526216,307925,295817,319038,238136,283939,533939,488321,393329,333440,240446,336422
"lsrC",179984,80435,189418,55769,84043,36631,166556,33338,283654,29096,47485,40109,45585,108756,57288,19042,172569,97676,484115,107821,153547,428067,107977,72433,101695,32678,55827,56625,116894,51051,148708,28531,78859,84447
