"","0","7200","14400","21600","28800","0 | 1","7200 | 1","14400 | 1","21600 | 1","28800 | 1","0 | 2","7200 | 2","14400 | 2","21600 | 2","28800 | 2"
"waaO",1971.00165166873,1787.35564175199,1867.32960907262,1929.0752148761,1869.9729296591,1353.52409046289,1592.61058937177,1388.61351245657,1376.71992763169,1319.55878742135,2230.64318136711,2026.10799647671,2103.72947404208,1763.11058475103,1783.05502522522
"appC",61.7583014786746,64.2935438973349,63.8191859842171,59.2921494530954,70.2730805484721,78.8155367932762,67.5493285071924,59.6369504155985,65.6765472237418,72.4300047599732,55.1385674424898,57.2828408740278,59.6397972927371,44.7208152406609,38.9343409890984
"yigZ",563.191257203979,469.636965705442,508.270266059171,523.110584047606,547.483370840718,993.395307700057,755.832806446284,782.175164309184,791.166139270886,964.610584234621,850.463952301357,903.784629286121,775.540114077538,759.903802131801,812.334484240967
"tauB",43.9848686597146,46.004570588211,43.8302504055551,41.3393720182756,49.2407303753306,39.6370344118531,41.8793532923129,37.6711840107864,35.4187388486629,41.3601553111027,46.6839982561806,49.6520681414503,52.1599050417207,42.2623667703182,26.9391087959273
"nfeR",232.999472909682,310.786621748485,223.414460027929,252.586842773645,348.565573559031,194.440043126309,316.500690518431,221.221695152126,274.243403684869,262.555028417345,280.0634032333,293.835976041845,255.513522771027,310.606617808725,357.754430388045
"acrA",2185.09026100332,2429.00458857593,2243.86735656206,2082.99947438887,2145.35285814567,4996.51215832604,6815.72168483978,8413.6661587599,9050.16612979788,9748.27726429092,2235.77725835227,4946.8717771254,5423.36923411478,6766.6672471436,6969.79331914343
"tamB",292.359447892384,296.973062835686,286.0550284611,300.109383070357,313.077581695352,299.035282793932,362.084692883387,325.947242290525,293.46082538507,386.655615604611,264.446113431664,323.235184201996,254.265465264762,317.591364930587,292.38836173828
"ydgA",982.250270663583,1342.38836387428,1087.6236557423,1036.50765069229,1135.17464828258,1342.69226274121,1340.51201044123,1304.92869439611,1324.89277481812,1215.53509314199,1039.37275354516,1081.5882211059,895.980321898214,1003.9602540593,981.06512956671
"yjjJ",284.934981076613,217.934127583626,202.204581415425,218.555861895722,154.759658483617,228.139568660493,220.461994129771,186.360586024372,183.934684795277,220.919850805979,303.282446229743,245.663864779903,263.302793417374,245.060720759183,283.462284333923
"rpmF",2184.95530013189,3343.64767216594,2772.58979515462,2445.48540642884,2845.97657130975,4439.52512122471,4961.11911159909,4698.62384491826,5298.68842217594,4895.31306277194,1997.92945708573,2098.4439156301,2218.69530581987,2405.64554193442,2353.96473168764
"uidC",29.5741762371149,30.425328002693,32.4468020860279,30.7868054543936,32.1238526685319,32.8661245920892,26.4368879106127,31.7422823017087,33.2689619455451,29.317244211588,35.4411913362597,38.1769744594922,31.8804777695544,28.9722672244955,14.1835072267983
"kbaY",59.0706540935037,56.6111261508186,59.2840525947552,59.3612311251267,69.6458040838114,49.8057551853294,56.5492587374291,51.7960689512116,50.2476345609638,49.9073710681028,58.4911907372867,61.0763010474924,54.512876938976,62.2431713587619,64.5492694720948
"fadI",65.4791303084085,80.1251942392571,83.4514685068724,76.976140143128,71.5855879803149,122.762453812649,81.4321189413355,81.9859902936343,94.0352193715473,89.2376810644746,79.0435177560671,84.3439868051634,76.3891947819573,85.5518473772315,52.9770198486941
"yaiL",1086.25808522906,1130.76185810081,835.708890788156,837.388361734742,995.937293131752,357.066536552162,615.772392538272,462.61058389239,601.579690574645,518.554651029512,941.804224700939,889.068721643428,848.979424829229,775.22169516301,836.792612618503
"accB",6085.63908264384,6007.27723401648,5977.22605378469,6064.60051292922,5845.57817218765,6065.05738398729,5650.46032991096,5456.96921665841,5296.80998596964,4953.24724286497,5871.98252746622,5417.26019184064,5407.61059214122,5290.5918939951,4990.41998493018
"rplE",17975.6720656486,17573.6807462777,17984.2772334127,18134.2524031198,17434.5236915447,17832.773255339,17663.5789818405,17643.8034045041,17218.4026526891,17914.1426618443,17690.943230473,17588.2066738759,17064.402976039,17682.5036665228,17347.7411354638
"ompX",11125.7294659333,14469.5426323047,12458.91176585,11074.7772399844,13065.2414867941,15254.3814415133,17536.3076104956,16915.8318013898,17455.931923996,16205.6106051839,15766.7569111789,16382.7830801473,15576.3327642829,16549.8283104611,17013.3377210475
"serB",1426.83280929518,1423.28800685756,1324.06016129303,1226.93775948879,1202.65867011682,2412.4439194195,1930.0550339259,1831.82668938417,1641.05440135488,1893.11058186098,1486.27725430432,1617.70316024436,1306.16614068683,1504.86192844963,1500.43881034334
"ttdB",33.6949842652339,44.9874565921772,43.4590784387172,47.2081520487599,45.6104907193976,44.9719398993183,50.4526716107998,45.108022227283,48.8735788123767,40.8787594703988,35.453663974241,43.0896804962438,33.9213888137792,36.8912811168527,37.5778472168674
"yjhR",50.3073972207952,73.0737966302203,55.2162758798092,51.0448920183058,45.6112170748217,52.0934173687982,55.6301670227417,43.2653873832679,60.1489173606928,45.6867449754311,46.8636092812349,44.2729816899968,49.0385774948829,57.9456078844212,53.8149305442559
"appB",53.4508244946851,53.95732138767,43.804894835912,48.4256692461348,47.5780697346298,99.6210622292042,76.5716266273527,64.1078049232649,62.8534203466202,72.8372606682804,48.5524728157569,44.1932334093599,46.5887149103682,48.5392966697391,49.1280999426563
"pyrL",158.952280406303,472.630682565155,195.982100846908,174.237906402882,285.166139547151,171.693744876521,273.468741163115,211.608709847256,311.303368814573,246.413634692773,128.926883510923,126.142534804111,165.762958265813,143.207540346447,140.554116279673
"dpiB",152.955702258072,136.316380950679,149.058556149576,143.100609833433,111.075311266913,153.878099674996,153.538704698335,155.370855840457,204.372074930282,197.231027957578,142.737514517444,184.298788356233,214.213221128832,199.166139565253,182.47292181438
"sodC",211.466819826242,233.633659270807,210.185846629758,197.162619137653,207.412790475066,231.417500441899,223.790388409499,217.408019407033,217.198578960898,231.825644734033,212.142459584572,228.922481254193,279.756350755073,218.779041826173,247.616576386324
"psuT",39.6759661097809,25.1290669606437,30.828333220572,28.1411999741223,27.2962240408663,22.3379723478318,23.1846257569143,21.0240001069603,21.5000281406883,24.5545963103681,31.8039580473719,26.0311584048226,45.5183137146253,27.140334392312,23.383681501756
"tdcD",131.460220519088,115.172927730354,111.306439094714,115.122735570985,114.505418313731,124.373453103192,101.082235663192,89.9069556487163,83.0046642818359,90.9312913412037,118.606314782095,99.059199606415,113.536372502673,72.4447702987288,94.4361495779038
